label,state,amine,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
H1_ISBZ,H1,ISBZ,866.3341060456136,225.0611747915501,641.2729312540636,66,3.6654793485351957,0.0,0.0,7.465877804805658,4.105448531566367,11.027632433561063
H1_MEPI,H1,MEPI,829.7836433774355,165.57026938489093,664.2133739925446,77,4.035156709552431,0.649993106953636,0.003925783954863523,7.3126062085166685,2.7991609489544036,11.40924059861765
H1_METOX,H1,METOX,856.7118412972005,198.60843985172022,658.1034014454805,70,3.9978599647152477,6.43993170581755,0.03242526707639193,8.475646777382314,2.0783111105188588,11.368244894653
H1_MOR,H1,MOR,814.9726950572446,143.57933838987515,671.3933566673693,76,3.8839948160184257,1.6799821841263136,0.011700723815598677,4.63824411545424,3.091909366898811,10.513676684796001
H1_MTL,H1,MTL,823.6739319293549,166.4809505656569,657.1929813636981,64,3.823302240780083,12.539867017228573,0.07532313441640934,7.860263001252472,1.8088687754853998,11.43881742560465
H1_NMA,H1,NMA,829.2442976379791,171.62096511041184,657.6233325275672,64,3.956495797036312,4.5999512184411016,0.026802967897784146,6.8010952396201505,1.8352190582570296,11.361710388161844
H1_OCTA,H1,OCTA,862.2530776255367,198.4800730528953,663.7730045726415,70,3.8834844585827817,1.6199828204075164,0.00816194187905094,8.88069041234409,2.029084359928006,11.064458773054557
H1_OTL,H1,OTL,811.1537288851646,155.7707320370325,655.3829968481323,64,3.8103871630675537,10.87988462100853,0.069845499720846,7.685947306635849,1.8708511087716841,11.408013313880513
H1_PIP,H1,PIP,817.1335085519008,148.09014243889752,669.0433661130033,76,4.032933361745021,0.639993213000501,0.00432164627881673,7.339994283023698,2.797125817480187,11.398424016822025
H1_THQ,H1,THQ,837.9638563573889,190.28073533081567,647.6831210265731,66,3.9783538361786017,5.289943901207265,0.02780073291187543,6.901817625791214,2.1187203476738343,11.426367219705915
H3_AMP,H3,AMP,821.7630761698298,152.22009205329826,669.5429841165318,80,3.9274589920579692,1.9599792148140307,0.01287595604743009,7.271538913073363,3.2016335130051568,10.807438770879747
H3_BEMT,H3,BEMT,841.4041445444516,185.68115763768967,655.7229869067619,67,3.784443010318031,0.0,0.0,7.695892186513097,3.021999587230966,10.822676168242129
H3_BENZ,H3,BENZ,913.8045674545999,267.761737842007,646.042829612593,67,3.7498127466594915,0.0,0.0,7.526998353460246,4.369804402547381,10.93570012640918
H3_BMAE,H3,BMAE,821.9932147777084,157.3203300763509,664.6728847013577,64,3.8011756978352107,0.01999978790626983,0.00012712780285016888,4.764070503532393,4.3178125960722635,10.444370511215812
H3_BOX,H3,BOX,869.5828017126998,222.50987261331343,647.0729290993862,73,3.770512456786345,0.029999681859392606,0.00013482404851099464,6.721396651351561,4.033570627564252,10.71361757551261
H3_DADP,H3,DADP,903.8823785551429,246.4795596361105,657.4028189190324,87,3.7913321356300345,4.519952066816047,0.01833804017456485,10.926782991820227,2.0046205528230523,11.095737147232166
H3_DBUA,H3,DBUA,888.8432672868381,237.52055525618042,651.3227120306575,64,3.7663470716333354,0.059999363718797355,0.0002526070371218372,6.88995316008016,4.088094104324973,10.724680950225194
H3_DEA,H3,DEA,806.6702639707038,149.59760253024362,657.0726614404603,64,3.7654454335890994,0.25999724278145925,0.0017379773364275442,5.859015442975426,3.330189487302891,10.87349356925887
H3_DEGE,H3,DEGE,1087.1511845609498,418.3483382168716,668.8028463440784,73,3.9188995052934184,2.19997666968922,0.005258719752697459,15.151629904727336,2.2758011179536286,12.23642048878551
H3_DEPA,H3,DEPA,892.7132591546531,229.82034690074175,662.8929122539112,77,3.8893688196676592,2.2899757152674223,0.009964199193626887,8.049849316362051,2.8539062020914745,10.995966845390116
H3_DETA,H3,DETA,843.1523516948002,182.6295388730182,660.522812821782,70,3.7880965550984835,4.669950476113034,0.025570619654031092,8.500627257060613,2.021253574957458,10.975760874861537
H3_DMDP,H3,DMDP,968.7430261359996,302.6001971292089,666.1428290067913,93,3.9172417299744215,2.139977305970423,0.007071962696232687,10.191046366697249,2.427194377554433,11.034891334446451
